name,link,Maven,Gradle,Travis CI,Github Actions
mbarrben/android-stickyheaderswipelistview,https://github.com/mbarrben/android-stickyheaderswipelistview,Yes,No,No,No
a-thomas/android-bootstrap,https://github.com/a-thomas/android-bootstrap,Yes,No,No,No
abel533/MyBatis-Spring-Boot,https://github.com/abel533/MyBatis-Spring-Boot,Yes,No,No,No
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,No,Yes,No,No
cjlin1/libsvm,https://github.com/cjlin1/libsvm,No,No,No,No
goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,No,Yes,No,No
Angel-ML/angel,https://github.com/Angel-ML/angel,Yes,No,Yes,No
katzer/cordova-plugin-local-notifications,https://github.com/katzer/cordova-plugin-local-notifications,No,No,No,No
mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley,Yes,Yes,No,No
PaperMC/Paper,https://github.com/PaperMC/Paper,No,No,No,build.yml;
xamarin/docs-archive,https://github.com/xamarin/docs-archive,No,No,No,No
Meituan-Dianping/Leaf,https://github.com/Meituan-Dianping/Leaf,Yes,No,No,No
guolindev/LitePal,https://github.com/guolindev/LitePal,No,Yes,No,No
huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,No,Yes,No,No
geoand/spring-cloud-microservice-example,https://github.com/geoand/spring-cloud-microservice-example,Yes,No,No,No
AnjuMeleth/SpringPetClinic,https://github.com/AnjuMeleth/SpringPetClinic,Yes,No,Yes,No
java-native-access/jna,https://github.com/java-native-access/jna,No,No,Yes,ci.yaml;
karatelabs/karate,https://github.com/karatelabs/karate,Yes,No,No,Skipped
JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,Yes,No,No,No
roughike/BottomBar,https://github.com/roughike/BottomBar,No,Yes,Yes,No
koush/AndroidAsync,https://github.com/koush/AndroidAsync,No,Yes,No,No
